step,loss,grad_norm,lr,reward,reward_std,kl,mean_len,clipped
44,0.0,0.1377856731414795,9.991569193789938e-06,0.6545900106430054,0.1213357150554657,0.0005707643576897681,406.75,0.0
45,0.0,0.1489306539297104,9.989967179983699e-06,0.6875624656677246,0.06574086844921112,0.0005764472589362413,398.0,0.0
46,0.0,0.1463364213705063,9.988226054850218e-06,0.6906617283821106,0.1028854101896286,0.0005593670066446066,404.0625,0.0
47,0.0,0.11969619989395142,9.98634586692894e-06,0.524712085723877,0.05718661844730377,0.0006878816056996584,385.6875,0.0
48,0.0,0.1512134075164795,9.984326668636131e-06,0.6788041591644287,0.08025957643985748,0.000619304395513609,386.6875,0.0
49,0.0,0.13760195672512054,9.98216851626341e-06,0.7772097587585449,0.04637579992413521,0.000592244672589004,396.4375,0.0
50,0.0,0.13996565341949463,9.979871469976197e-06,0.7729852199554443,0.11553322523832321,0.0005364081007428467,394.6875,0.0
51,0.0,0.11649825423955917,9.977435593812013e-06,0.46611732244491577,0.06712742149829865,0.0006878838466946036,394.6875,0.0
52,0.0,0.13896000385284424,9.974860955678715e-06,0.753949761390686,0.08037203550338745,0.0006358999526128173,400.0625,0.0
53,0.0,0.15381337702274323,9.972147627352593e-06,0.7419229745864868,0.07732085883617401,0.000616813194938004,406.625,0.0
54,0.0,0.13814419507980347,9.96929568447637e-06,0.7039862871170044,0.08672039210796356,0.0006113417621236295,402.875,0.0
55,0.0,0.16788682341575623,9.966305206557092e-06,0.638640820980072,0.07313650101423264,0.0005499683902598917,409.6875,0.0
56,0.0,0.1307644546031952,9.963176276963916e-06,0.7220727205276489,0.13002584874629974,0.0006412585498765111,400.125,0.0
57,0.0,0.12677046656608582,9.959908982925783e-06,0.6578477621078491,0.04811576008796692,0.0006662270752713084,406.6875,0.0
58,0.0,0.13630078732967377,9.956503415528984e-06,0.7969778776168823,0.052691422402858734,0.0007532416493631899,392.9375,0.0
59,0.0,0.18048785626888275,9.952959669714627e-06,0.7581906318664551,0.08910354971885681,0.0006993520364630967,411.0625,0.0
60,0.0,0.11256276816129684,9.94927784427598e-06,0.5475394129753113,0.09546387195587158,0.0006615723541472107,400.8125,0.0
61,0.0,0.14101921021938324,9.945458041855732e-06,0.6490939259529114,0.11289743334054947,0.0008029073942452669,406.5625,0.0
62,0.0,0.1485109180212021,9.941500368943111e-06,0.7860437631607056,0.1188582330942154,0.0007520101207774132,400.875,0.0
63,0.0,0.12685322761535645,9.937404935870938e-06,0.6218387484550476,0.05562135577201843,0.0006944226915948093,401.8125,0.0
64,0.0,0.11411289870738983,9.933171856812533e-06,0.45484334230422974,0.057493798434734344,0.000808470300398767,371.3125,0.0
65,0.0,0.14005453884601593,9.92880124977854e-06,0.7522455453872681,0.06915943324565887,0.0008699021418578923,407.0,0.0
66,0.0,0.1304817646741867,9.924293236613643e-06,0.7095147967338562,0.036518778651952744,0.0007772580720484257,316.25,0.25
67,0.0,0.10871108621358871,9.91964794299315e-06,0.31164729595184326,0.02345111593604088,0.0007067679543979466,416.875,0.0
68,0.0,0.15672831237316132,9.91486549841951e-06,0.7762991786003113,0.0740460753440857,0.0007654379005543888,408.375,0.0
69,0.0,0.14333906769752502,9.909946036218694e-06,0.7924945950508118,0.03593515232205391,0.0010382962645962834,399.5,0.0
70,0.0,0.14275076985359192,9.904889693536475e-06,0.7609414458274841,0.05466105416417122,0.0009338548697996885,396.375,0.0
71,0.0,0.13132259249687195,9.899696611334612e-06,0.6295056343078613,0.10614317655563354,0.0007966729754116386,420.0625,0.0
72,0.0,0.12995025515556335,9.894366934386913e-06,0.7834644317626953,0.08041413873434067,0.0008156868570949882,409.75,0.0
73,0.0,0.13330861926078796,9.888900811275205e-06,0.8185631036758423,0.09511435031890869,0.0008542240539100021,417.25,0.0
74,0.0,0.12211797386407852,9.883298394385186e-06,0.33448684215545654,0.1344456523656845,0.0008759577176533639,401.5,0.0
75,0.0,0.13749857246875763,9.877559839902185e-06,0.7506410479545593,0.11731785535812378,0.0010454857838340104,407.0625,0.0
76,0.0,0.13390354812145233,9.871685307806796e-06,0.6953381299972534,0.06332545727491379,0.0008226220670621842,398.9375,0.0
77,0.0,0.12834477424621582,9.865674961870428e-06,0.7705264687538147,0.08603401482105255,0.0009619491174817085,400.625,0.0
78,0.0,0.15106020867824554,9.859528969650739e-06,0.6538662910461426,0.09972338378429413,0.0009244440880138427,402.6875,0.0
79,0.0,0.1403084695339203,9.853247502486957e-06,0.6899803876876831,0.08486917614936829,0.0009290902526117861,404.6875,0.0
80,0.0,0.14084628224372864,9.846830735495112e-06,0.6465275287628174,0.06930834800004959,0.0009174509032163769,405.9375,0.0
81,0.0,0.1169157326221466,9.840278847563147e-06,0.44634687900543213,0.02272091992199421,0.0010321252630092204,387.1875,0.0
82,0.0,0.15068380534648895,9.833592021345938e-06,0.8808420896530151,0.034906551241874695,0.0009264191903639585,412.125,0.0
83,0.0,0.1476539820432663,9.826770443260193e-06,0.6941351890563965,0.08306176960468292,0.0011367800179868937,408.25,0.0
