代码,名称,公告标题,公告类型,公告日期,网址
A25087,海雷股份,关于深圳市海雷新能源股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作进展报告,2025-05-26,https://data.eastmoney.com/notices/detail/A25087/AN202506101688010075.html
603716,塞力医疗,关于对塞力斯医疗科技集团股份有限公司有关责任人予以通报批评的决定,上交所股票监管措施,2025-05-26,https://data.eastmoney.com/notices/detail/603716/AN202506061685903992.html
603716,塞力医疗,关于对塞力斯医疗科技集团股份有限公司有关责任人予以监管警示的决定,上交所股票监管措施,2025-05-26,https://data.eastmoney.com/notices/detail/603716/AN202506061685902672.html
920065,千岸科技,关于深圳千岸科技股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作进展报告,2025-05-26,https://data.eastmoney.com/notices/detail/920065/AN202506051685044929.html
A24084,天康制药,关于天康制药股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作进展报告,2025-05-26,https://data.eastmoney.com/notices/detail/A24084/AN202506051685044938.html
920117,龙鑫智能,关于常州市龙鑫智能装备股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作进展报告,2025-05-26,https://data.eastmoney.com/notices/detail/920117/AN202505291680992240.html
920220,朗信电气,关于江苏朗信电气股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作进展报告,2025-05-26,https://data.eastmoney.com/notices/detail/920220/AN202505291680992239.html
A24059,百菲乳业,关于广西百菲乳业股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作进展报告,2025-05-26,https://data.eastmoney.com/notices/detail/A24059/AN202505281680409650.html
300182,捷成股份,捷成股份:300182捷成股份投资者关系管理信息20250526,调研活动,2025-05-26,https://data.eastmoney.com/notices/detail/300182/AN202505271679963680.html
300793,佳禾智能,佳禾智能:关于使用暂时闲置募集资金进行现金管理的进展公告,募集资金使用进展情况,2025-05-26,https://data.eastmoney.com/notices/detail/300793/AN202505271679959178.html
A25001,新富科技,关于安徽新富新能源科技股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作进展报告,2025-05-26,https://data.eastmoney.com/notices/detail/A25001/AN202505271679824398.html
920096,嘉晨智能,关于河南嘉晨智能控制股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作进展报告,2025-05-26,https://data.eastmoney.com/notices/detail/920096/AN202505271679824400.html
300108,*ST吉药,*ST吉药:吉药控股集团股份有限公司关于收到股票终止上市决定的公告,终止上市,2025-05-26,https://data.eastmoney.com/notices/detail/300108/AN202505261679662403.html
300108,*ST吉药,关于吉药控股集团股份有限公司股票终止上市的公告,终止上市,2025-05-26,https://data.eastmoney.com/notices/detail/300108/AN202505261679662401.html
300789,唐源电气,唐源电气:2025年5月26日投资者关系活动记录表,调研活动,2025-05-26,https://data.eastmoney.com/notices/detail/300789/AN202505261679653814.html
301315,威士顿,威士顿:简式权益变动报告书(丛威咨询),权益变动报告书,2025-05-26,https://data.eastmoney.com/notices/detail/301315/AN202505261679637204.html
301315,威士顿,威士顿:关于5%以上股东权益变动触及1%整数倍且持股比例降至5%以下暨减持股份计划实施完毕的公告,权益变动报告书,2025-05-26,https://data.eastmoney.com/notices/detail/301315/AN202505261679637205.html
000513,丽珠集团,丽珠集团:2025年5月26日投资者关系活动记录表,调研活动,2025-05-26,https://data.eastmoney.com/notices/detail/000513/AN202505261679641917.html
300577,开润股份,开润股份:关于对外担保的进展公告,提供/对外担保公告,2025-05-26,https://data.eastmoney.com/notices/detail/300577/AN202505261679632345.html
300577,开润股份,开润股份:2024年度权益分派实施公告,分配方案实施,2025-05-26,https://data.eastmoney.com/notices/detail/300577/AN202505261679632346.html
300577,开润股份,开润股份:关于可转换公司债券转股价格调整的公告,其他,2025-05-26,https://data.eastmoney.com/notices/detail/300577/AN202505261679632338.html
600933,爱柯迪,爱柯迪股份有限公司拟发行股份及支付现金购买资产所涉及的卓尔博(宁波)精密机电股份有限公司股东全部权益价值项目资产评估报告(申报稿),沪主板并购重组资产评估报告,2025-05-26,https://data.eastmoney.com/notices/detail/600933/AN202505261679633178.html
002615,哈尔斯,哈尔斯:2025-002 浙江哈尔斯真空器皿股份有限公司投资者关系活动记录表,调研活动,2025-05-26,https://data.eastmoney.com/notices/detail/002615/AN202505261679633111.html
600933,爱柯迪,爱柯迪股份有限公司审计报告及财务报表(申报稿),沪主板并购重组审计报告,2025-05-26,https://data.eastmoney.com/notices/detail/600933/AN202505261679632414.html
600933,爱柯迪,浙江天册律师事务所关于爱柯迪股份有限公司发行股份及支付现金购买资产并募集配套资金的法律意见书(申报稿),沪主板并购重组法律意见书,2025-05-26,https://data.eastmoney.com/notices/detail/600933/AN202505261679631884.html
600933,爱柯迪,国金证券股份有限公司关于爱柯迪股份有限公司发行股份及支付现金购买资产并募集配套资金之独立财务顾问报告(申报稿),沪主板并购重组独立财务顾问报告,2025-05-26,https://data.eastmoney.com/notices/detail/600933/AN202505261679630992.html
002392,北京利尔,北京利尔:002392北京利尔投资者关系管理信息20250526,调研活动,2025-05-26,https://data.eastmoney.com/notices/detail/002392/AN202505261679628845.html
300679,电连技术,电连技术:2024年年度权益分派实施公告,分配方案实施,2025-05-26,https://data.eastmoney.com/notices/detail/300679/AN202505261679617291.html
300973,立高食品,立高食品:2025年5月26日投资者关系活动记录表,调研活动,2025-05-26,https://data.eastmoney.com/notices/detail/300973/AN202505261679607365.html
301029,怡合达,怡合达:关于持股5%以上股东、董事、高级管理人员以及特定股东减持股份的预披露公告,股东/实际控制人股份减持,2025-05-26,https://data.eastmoney.com/notices/detail/301029/AN202505261679601336.html
002749,国光股份,国光股份:002749国光股份投资者关系管理信息20250526,调研活动,2025-05-26,https://data.eastmoney.com/notices/detail/002749/AN202505261679603637.html
300916,朗特智能,朗特智能:2025年05月23日投资者关系活动记录表,调研活动,2025-05-26,https://data.eastmoney.com/notices/detail/300916/AN202505261679603638.html
000768,中航西飞,中航西飞:2025年5月26日投资者关系活动记录表,调研活动,2025-05-26,https://data.eastmoney.com/notices/detail/000768/AN202505261679593436.html
300081,ST恒信,恒信东方:关于累计诉讼、仲裁情况的进展公告,诉讼仲裁,2025-05-26,https://data.eastmoney.com/notices/detail/300081/AN202505261679586054.html
301421,波长光电,波长光电:投资者关系活动记录表,调研活动,2025-05-26,https://data.eastmoney.com/notices/detail/301421/AN202505261679592017.html
