序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
1,600007,中国国贸,,,3912067946.0,,,,1262389074.0,,,9.68,,房地产开发,2026-08-22
2,000028,国药一致,,,74378494389.57,,,,642493449.76,,,30.4,,医药商业,2026-08-18
3,603019,中科曙光,,,13147685135.79,,,,1911152257.13,,,15.2,,计算机设备,2026-08-14
4,600000,浦发银行,,,170748000000.0,,,,45257000000.0,,,22.13,,银行Ⅱ,2026-08-13
5,300857,协创数据,,,7409840762.68,,,,691783396.04,,,12.69,,消费电子,2026-08-13
6,603163,圣晖集成,,,2007697317.98,,,,114402314.36,,,11.68,,专业工程,2026-08-08
7,603043,广州酒家,,,5123689351.96,,,,493857043.05,,,6.92,,休闲食品,2026-08-08
8,301329,信音电子,,,786885001.45,,,,69760403.14,,,9.18,,消费电子,2026-08-07
9,688252,天德钰,,,2101972722.42,,,,274880771.0,,,5.92,,半导体,2026-08-06
10,688235,百济神州,,,27213955000.0,,,,-4978287000.0,,,21.26,,化学制药,2026-08-06
11,688121,*ST卓然,-0.83,1848999400.0,2838278500.0,-34.85489884097,-52.570999626003,-188323100.0,94769200.0,-298.71762133689,-514.6912304508,9.78,-7.62,专用设备,2026-08-06
12,603680,今创集团,,,4499389294.69,,,,302066121.19,,,7.26,,轨交设备Ⅱ,2026-08-05
13,600919,江苏银行,,,80815212000.0,,,,31843213000.0,,,14.06,,银行Ⅱ,2026-08-05
14,600979,广安爱众,,,3214641144.79,,,,235731377.54,,,3.27,,电力,2026-08-01
15,002797,第一创业,,,3531605346.33,,,,903629183.85,,,4.11,,证券Ⅱ,2026-08-01
16,002420,毅昌科技,,,2683352526.85,,,,94699367.09,,,1.9267,,综合Ⅱ,2026-07-31
17,002140,东华科技,,,8862222844.58,,,,410250060.43,,,6.7,,专业工程,2026-07-31
18,002158,汉钟精机,,,3674288772.58,,,,862593975.15,,,8.18,,通用设备,2026-07-30
19,601231,环旭电子,,,60690651098.1,,,,1652482815.41,,,9.09,,消费电子,2026-07-29
20,301175,中科环保,,,1662799376.05,,,,320694973.43,,,2.52,,环境治理,2026-07-29
21,002233,塔牌集团,,,4277500377.44,,,,537915513.98,,,10.08,,水泥,2026-07-29
22,000156,华数传媒,,,9394570758.66,,,,534000266.4,,,8.13,,电视广播Ⅱ,2026-07-28
23,600958,东方证券,,,12172087561.4,,,,3350208782.4,,,9.8,,证券Ⅱ,2026-07-25
24,601958,金钼股份,,,13570698080.87,,,,2982577897.11,,,5.85,,小金属,2026-07-24
25,600995,南网储能,,,6173879376.06,,,,1126480313.51,,,7.08,,电力,2026-07-24
26,600048,保利发展,,,311666319879.14,,,,5001183340.24,,,16.26,,房地产开发,2026-07-24
27,601965,中国汽研,,,4732062500.0,,,,899542000.0,,,7.81,,专业服务,2026-07-23
28,600980,北矿科技,,,1187974946.94,,,,105817106.34,,,7.8627,,专用设备,2026-07-23
