代码,名称,公告标题,公告类型,公告日期,网址
920193,吉和昌,吉和昌:关于武汉吉和昌新材料股份有限公司公开发行股票并在北交所上市申请文件的审核问询函,北交所发行上市问询与回复,2025-07-28,https://data.eastmoney.com/notices/detail/920193/AN202507281717237072.html
301162,国能日新,国能日新:国能日新科技股份有限公司2024年度向特定对象发行A股股票上市公告书,增发上市公告书,2025-07-28,https://data.eastmoney.com/notices/detail/301162/AN202507281717226151.html
000669,ST金鸿,ST金鸿:关于注册地址发生变更的公告,公司注册地址变更,2025-07-28,https://data.eastmoney.com/notices/detail/000669/AN202507281717187100.html
301611,珂玛科技,珂玛科技:301611珂玛科技投资者关系管理信息20250725,调研活动,2025-07-28,https://data.eastmoney.com/notices/detail/301611/AN202507281717176046.html
301236,软通动力,软通动力:2025年7月1日至7月25日-投资者关系活动记录表,调研活动,2025-07-28,https://data.eastmoney.com/notices/detail/301236/AN202507291717605574.html
920090,*ST同辉,同辉信息:2025年第一次临时股东会决议公告,股东大会决议公告,2025-07-28,https://data.eastmoney.com/notices/detail/920090/AN202507281717366075.html
920090,*ST同辉,同辉信息:2025年第一次临时股东会法律意见书,法律意见书,2025-07-28,https://data.eastmoney.com/notices/detail/920090/AN202507281717366074.html
920267,鑫汇科,鑫汇科:股东拟减持股份的预披露公告,股东/实际控制人股份减持,2025-07-28,https://data.eastmoney.com/notices/detail/920267/AN202507281717323622.html
300476,胜宏科技,胜宏科技:300476胜宏科技投资者关系管理信息20250728,调研活动,2025-07-28,https://data.eastmoney.com/notices/detail/300476/AN202507281717320778.html
300539,横河精密,横河精密:300539横河精密投资者关系管理信息20250725,调研活动,2025-07-28,https://data.eastmoney.com/notices/detail/300539/AN202507281717308894.html
688790,昂瑞微,8-1发行人及中介机构回复意见(北京昂瑞微电子技术股份有限公司),科创板发行上市问询与回复,2025-07-28,https://data.eastmoney.com/notices/detail/688790/AN202507281717299653.html
300980,祥源新材,祥源新材:关于部分限制性股票回购注销完成的公告,股本变动,2025-07-28,https://data.eastmoney.com/notices/detail/300980/AN202507281717290054.html
300777,中简科技,中简科技:关于公司董事减持股份的预披露公告,股东/实际控制人股份减持,2025-07-28,https://data.eastmoney.com/notices/detail/300777/AN202507281717290027.html
301051,信濠光电,信濠光电:关于持股5%以上股东部分股份司法拍卖的进展公告,诉讼仲裁,2025-07-28,https://data.eastmoney.com/notices/detail/301051/AN202507281717286946.html
300705,九典制药,九典制药:300705九典制药投资者关系管理信息20250728,调研活动,2025-07-28,https://data.eastmoney.com/notices/detail/300705/AN202507281717286579.html
300347,泰格医药,泰格医药:关于持股5%以上股东减持股份的预披露公告,股东/实际控制人股份减持,2025-07-28,https://data.eastmoney.com/notices/detail/300347/AN202507281717281184.html
301448,开创电气,开创电气:关于选举第三届董事会职工代表董事的公告,高管人员任职变动,2025-07-28,https://data.eastmoney.com/notices/detail/301448/AN202507281717278743.html
301448,开创电气,开创电气:国浩律师(杭州)事务所关于浙江开创电气股份有限公司2025年第三次临时股东大会的法律意见书,法律意见书,2025-07-28,https://data.eastmoney.com/notices/detail/301448/AN202507281717278749.html
301448,开创电气,开创电气:2025年第三次临时股东大会决议公告,股东大会决议公告,2025-07-28,https://data.eastmoney.com/notices/detail/301448/AN202507281717278750.html
301448,开创电气,开创电气:第三届董事会第一次会议决议公告,高管人员任职变动,2025-07-28,https://data.eastmoney.com/notices/detail/301448/AN202507281717278746.html
301448,开创电气,开创电气:关于董事会完成换届选举及聘任高级管理人员、证券事务代表、内审部负责人的公告,高管人员任职变动,2025-07-28,https://data.eastmoney.com/notices/detail/301448/AN202507281717278733.html
920258,聚仁新材,聚仁新材:关于湖南聚仁新材料股份公司公开发行股票并在北交所上市申请文件的审核问询函,北交所发行上市问询与回复,2025-07-28,https://data.eastmoney.com/notices/detail/920258/AN202507281717278704.html
300733,西菱动力,西菱动力:内幕信息知情人管理制度(2025年修订),管理办法/制度,2025-07-28,https://data.eastmoney.com/notices/detail/300733/AN202507281717278691.html
300733,西菱动力,西菱动力:董事会提名委员会实施细则(2025年修订),议事规则/实施细则,2025-07-28,https://data.eastmoney.com/notices/detail/300733/AN202507281717278701.html
