序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
1,688646,逸飞激光,1.24,697202600.0,538956100.0,29.36166786126,54.378433808371,101120300.0,93894200.0,7.696002521988,258.3477182054,17.5,9.77,自动化设备,2025-04-30
2,688511,天微电子,0.6325,140482700.0,110753500.0,26.842673143512,32.574594377885,49704300.0,44922500.0,10.644554510546,27.2342339536,10.65,6.08,军工电子Ⅱ,2025-04-30
3,688348,昱能科技,1.41,1420140000.0,1338391600.0,6.107958238829,45.484779442387,220223000.0,360533400.0,-38.917448425028,-13.7293907992,23.47,5.89,光伏设备,2025-04-30
4,688246,嘉和美康,0.23,695175300.0,716948800.0,-3.036967214395,-35.927309833227,32284500.0,68024400.0,-52.539823945525,-65.4016973679,13.15,1.78,软件开发,2025-04-30
5,688225,亚信安全,-0.7302,1608088400.0,1720952000.0,-6.55820731781,43.767352296334,-291075800.0,98550800.0,-395.356100610041,-100.267991051,5.29,-12.03,软件开发,2025-04-30
6,688184,ST帕瓦,-1.84,954269900.0,1656255100.0,-42.383881565104,-40.731246045692,-247643300.0,145793800.0,-269.85859480993,-7078.4409666847,17.56,-8.32,电池,2025-04-30
7,688793,倍轻松,-0.6,1274798200.0,895858900.0,42.298993736625,-2.681462963262,-50865400.0,-124432300.0,59.122028605113,-483.0676280415,4.71,-11.75,小家电,2025-04-29
8,688669,聚石化学,0.24,3685171155.32,3957415541.72,-6.879347986835,-44.83930497414,28578460.37,45048409.19,-36.560555891186,-229.5869669489,12.92,1.83,塑料,2025-04-29
9,688651,盛邦安全,0.66,290833000.0,236124700.0,23.169240659702,292.921337763272,42508600.0,46184200.0,-7.958565916482,488.8361068239,13.3,7.43,软件开发,2025-04-29
10,688333,铂力特,0.69,1152447800.0,918078600.0,25.528228193098,35.624201871597,110237400.0,79498800.0,38.665489290404,245.6750855656,24.64,6.74,通用设备,2025-04-29
11,688288,鸿泉技术,-0.71,409348100.0,239701400.0,70.774179875462,-2.408558783149,-71600200.0,-106043800.0,32.480541059449,-196.9296782858,7.44,-9.22,计算机设备,2025-04-29
12,688103,国力电子,0.67,692254600.0,700111000.0,-1.122164913849,4.800482453527,64190000.0,85420900.0,-24.854455993791,-48.9166066694,11.73,5.97,其他电子Ⅱ,2025-04-29
13,688085,三友医疗,0.38,460392060.81,649152314.95,-29.077960563776,32.282367017877,95582882.73,190818290.9,-49.908951453668,769.0374957834,7.71,5.09,医疗器械,2025-04-29
14,002816,*ST和科,-0.6258,144040600.0,86256162.59,66.991662595362,204.969414334323,-62580100.0,-81070520.63,22.807822728053,-1083.7173134264,2.76,-20.4,专用设备,2025-04-29
15,688633,星球石墨,1.01,770763664.08,651234537.34,18.354236436572,8.538857740362,147696124.35,141688212.45,4.24023410001,-17.143629866,14.59,10.26,专用设备,2025-04-28
16,688360,德马科技,0.49,1384245500.0,1529747600.0,-9.511510264831,47.51230496228,87585200.0,81678400.0,7.231777311994,-39.7207461943,9.91,8.03,通用设备,2025-04-26
17,603322,超讯科技,0.12,2444980148.84,2025842859.98,20.689526178952,91.156740976789,18788142.55,15189630.89,23.690580015141,515.8150080378,1.87,7.94,通信服务,2025-04-26
18,688613,奥精医疗,0.41,226475900.0,245305100.0,-7.675828998256,-34.625478555232,54231800.0,95217300.0,-43.044173695326,-98.7976260827,10.37,4.08,医疗器械,2025-04-25
19,688060,云涌科技,-0.1121,282358687.68,265821661.74,6.221097946553,137.183180389755,-6746696.03,16757019.98,-140.261908370655,-370.0036458077,15.89,-0.6976,计算机设备,2025-04-25
20,688600,皖仪科技,0.33,786868400.0,675400900.0,16.503901608659,44.766138356163,43811000.0,47810500.0,-8.365317242028,259.928369171,6.51,4.92,通用设备,2025-04-24
21,688590,新致软件,0.26,1682692866.75,1315417096.58,27.920860320646,35.783432991262,68615164.59,-51939208.16,232.106682063056,53.7833564963,5.62,5.05,软件开发,2025-04-24
22,688299,长阳科技,0.34,1253343600.0,1153042700.0,8.69880187438,-10.252744029794,95420300.0,113428700.0,-15.876405177878,45.6937744866,7.59,4.53,光学光电子,2025-04-23
23,688369,致远互联,-0.44,1044650200.0,1032429773.92,1.183656882889,49.817722130937,-50018100.0,94080587.34,-153.165165539665,67.4892657816,12.08,-3.52,软件开发,2025-04-22
24,300026,红日药业,0.17,6108854600.0,6650024900.0,-8.137868777003,-20.850172508697,506631400.0,624238100.0,-18.840038760851,-101.5617278049,2.9,5.97,中药Ⅱ,2025-04-22
25,000537,绿发电力,0.49,3690586799.66,3429807903.77,7.603309083385,-5.537279678002,919575847.18,633574878.72,45.140831504842,-55.9422646069,9.21,5.48,电力,2025-04-19
26,688020,方邦股份,-0.86,345149300.0,312626300.0,10.403155460689,-22.270111264642,-68670100.0,-68024200.0,-0.949515025535,-83.1624528333,18.42,-4.54,元件,2025-04-17
27,300899,上海凯鑫,0.2443,124627800.0,154070701.28,-19.109993681727,77.233699166989,15583100.0,27368984.41,-43.062922004858,81.0781572554,10.36,2.36,环境治理,2025-04-17
28,300719,安达维尔,0.4446,850860900.0,412546100.0,106.246259508937,137.339735895149,113479600.0,-45815400.0,347.688768405383,316.6573715545,4.2527,11.0,航空装备Ⅱ,2025-04-17
29,603893,瑞芯微,0.32,2134522147.19,2029675088.24,5.165706548673,12.974561259579,134885044.41,297427269.93,-54.649402376001,9.6198213938,7.32,4.53,半导体,2025-04-16
30,600755,厦门国贸,0.64,468246879000.0,521944964877.33,-10.288074316408,-47.573528817165,1914865100.0,3594216341.9,-46.723710599242,-82.8295996679,9.57,6.65,物流,2025-04-16
31,600731,湖南海利,0.4972,2374351400.0,3130113836.77,-24.144886613769,38.708900943626,273777800.0,352269305.76,-22.281676114432,-63.8362433346,5.38,9.74,农化制品,2025-04-16
32,600569,安阳钢铁,-0.541,42150904679.37,39234913907.62,7.432132458901,-16.095869478706,-1554238625.56,-3000984924.89,48.209049213502,-877.4224817818,2.05,-23.28,普钢,2025-04-16
33,002350,北京科锐,-0.308,1953005300.0,2176684246.04,-10.276131985929,49.028497670126,-167023100.0,15641258.43,-1167.83671369849,-6354.3953788904,3.13,-9.38,电网设备,2025-04-16
