序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
1,688816,易思维,,110836700.0,,,,-9123600.0,,,,,,自动化设备,2025-11-04
2,688802,沐曦股份,,181349400.0,,,,-512687300.0,,,,,,半导体,2025-10-24
3,601869,长飞光纤,0.5,5348000000.0,6915183145.0,-22.662930426263,24.05259619446,378000000.0,607014926.0,-37.728055141761,452.6228445965,,3.34,通信设备,2025-08-28
4,603043,广州酒家,0.1028,1911886300.0,1733524200.0,10.288988177956,-11.14349203139,58453400.0,80049100.0,-26.978067211249,-117.4172841257,,1.59,休闲食品,2025-08-23
5,600436,片仔癀,2.85,5650587600.0,5045275700.0,11.997598069814,-21.786902046122,1721539600.0,1540837100.0,11.727553808251,-23.3425385131,,12.1,中药Ⅱ,2025-08-23
6,600007,中国国贸,0.68,1965290000.0,1938360000.0,1.389318805588,0.054265644607,687540000.0,653650000.0,5.184731890155,4.2866265629,,7.16,房地产开发,2025-08-23
7,600089,特变电工,0.604,47863000000.0,50108533002.26,-4.481338541998,3.124170011463,3032000000.0,7484506753.18,-59.489648416554,-47.9263118826,,4.8804,电网设备,2025-08-21
8,301667,纳百川,,509396700.0,,,,23958900.0,,,,,,汽车零部件,2025-08-21
9,600282,南钢股份,,33678596367.88,36918189888.39,-8.775060560401,-0.392772065271,1233310671.73,989059056.95,24.695351916923,22.6464632033,,,普钢,2025-08-20
10,002350,北京科锐,-0.0224,761840600.0,847515207.51,-10.108916837223,80.93685781193,-11844000.0,-30431775.99,61.080155151339,140.9157951188,,-0.7,电网设备,2025-08-16
11,002108,沧州明珠,0.0528,1234531569.83,1317593508.95,-6.304064080142,42.293031174248,88235104.26,165729937.95,-46.759707176974,-52.6132206846,,1.72,塑料,2025-08-16
12,603334,丰倍生物,,987894900.0,,,,68869100.0,,,,,,化学制品,2025-08-15
13,000028,国药一致,1.34,37785980600.0,38387531500.0,-1.567047623263,-2.068994178838,743487200.0,830251100.0,-10.450320391024,-8.7594613632,,4.19,医药商业,2025-08-15
14,301531,春光集团,0.27,495639648.97,,,47.202842232961,43986942.03,,,53.0557760973,,7.34,金属新材料,2025-08-13
15,300857,协创数据,1.05,3578049800.0,1839517600.0,94.510223767362,3.428791112143,357780200.0,113014400.0,216.579303168446,20.5178357941,,13.46,消费电子,2025-08-11
16,600390,五矿资本,0.15,3877202735.45,4984103320.07,-22.208620358305,-2.761224871519,897793505.0,1530641259.51,-41.345269544909,-4.5171369716,,1.59,多元金融,2025-08-09
17,001400,江顺科技,1.858,575310934.93,484364223.75,18.776512946369,9.014747952343,83610053.22,74076357.7,12.870092180572,64.5066636856,,14.17,专用设备,2025-08-09
18,300979,华利集团,1.61,11471959600.0,9211712700.0,24.53666298125,40.757671830633,1878347800.0,1455668500.0,29.036782756514,38.5229818496,,11.96,纺织制造,2025-08-08
19,002378,章源钨业,0.09,1813833245.24,1723664508.27,5.231223160736,7.545039875589,112257317.33,86442119.99,29.8641418593,212.6116601489,,5.37,小金属,2025-08-08
20,688783,西安奕材,,892164200.0,,,,-375679700.0,,,,,,半导体,2025-08-07
21,688759,必贝特,,,,,,-74862300.0,,,,,,化学制药,2025-08-07
22,688235,百济神州,-2.12,11996406000.0,7251228000.0,65.43964691222,23.841190833644,-2877389000.0,-5218922000.0,44.866219498969,49.1978746955,,-11.65,化学制药,2025-08-07
23,600161,天坛生物,0.37,2841374400.0,2690961800.0,5.589547945274,32.526895684885,726087900.0,566799600.0,28.103107341642,29.2856218958,,7.16,生物制品,2025-08-07
24,600000,浦发银行,0.89,88248000000.0,91230000000.0,-3.268661624466,-5.312389692905,26988000000.0,23138000000.0,16.639294666782,-45.0835198898,,4.17,银行Ⅱ,2025-08-07
25,301632,广东建科,,522928400.0,,,62.885633953156,32657600.0,,,511.7634652453,,,专业服务,2025-08-07
26,301329,信音电子,0.22,392508200.0,383556900.0,2.333760649333,11.128741712222,37178400.0,38098100.0,-2.41403114591,14.1501361351,,2.38,消费电子,2025-08-07
27,300931,通用电梯,0.0005,264866800.0,200596996.18,32.039265314985,150.192627489491,125000.0,8329475.24,-98.499305221538,-188.8151546101,,0.02,专用设备,2025-08-07
28,603699,纽威股份,0.64,2837963800.0,2422657696.48,17.142582880092,8.730579255971,488027600.0,336483029.65,45.037804880571,48.0441458117,,12.83,通用设备,2025-08-06
29,603019,中科曙光,0.386,5712059095.8,5400697692.86,5.765207027819,30.451197299241,563158665.42,544747215.16,3.379815398339,194.9839553014,,2.97,计算机设备,2025-08-06
30,601880,辽港股份,0.02,5373882300.0,5691120324.37,-5.574263172957,-13.961842012113,453443300.0,629832557.95,-28.00573830672,-78.0793515152,,1.14,航运港口,2025-08-05
31,002111,威海广泰,0.21,1284433024.72,1068757783.55,20.179992556743,26.189207104451,107385580.43,57995697.5,85.161287921401,17.2899217497,,3.4,航空装备Ⅱ,2025-08-05
32,002948,青岛银行,0.45,7128085000.0,6365278000.0,11.983875645337,-6.787955833901,2640917000.0,2335704000.0,13.067280785579,44.3856621338,,7.67,银行Ⅱ,2025-08-01
33,600900,长江电力,0.4646,34838000000.0,30974895019.62,12.471729050036,22.51093874258,11368000000.0,8882067760.22,27.988215209455,86.4794201496,,5.56,电力,2025-07-31
34,600863,华能蒙电,0.26,10769256100.0,11098938163.7,-2.970392832517,-6.713685195273,1767584700.0,1483236700.21,19.170776973745,-1.0396042316,,10.59,电力,2025-07-31
35,002140,东华科技,0.297,4377131366.47,3497219589.76,25.160323912357,39.779488382305,209563522.56,203101375.98,3.181734515002,-27.8453797894,,5.09,专业工程,2025-07-31
36,601231,环旭电子,0.36,27385610393.61,26865634172.78,1.935469743561,2.977728098719,784403787.3,767267825.33,2.233374240948,34.3717009061,,4.58,消费电子,2025-07-29
