代码,名称,公告标题,公告类型,公告日期,网址
002762,金发拉比,*ST金比:关于举办2025年度网上业绩说明会的公告,其他,2026-04-16,https://data.eastmoney.com/notices/detail/002762/AN202604151821246808.html
600729,重百集团,重庆百货:重庆百货大楼股份有限公司2026年第一次临时股东会会议材料,股东大会资料,2026-04-16,https://data.eastmoney.com/notices/detail/600729/AN202604151821239886.html
603718,*ST海利,海利生物:海利生物关于部分应收款项坏账准备财务核销的公告,其他,2026-04-16,https://data.eastmoney.com/notices/detail/603718/AN202604151821235078.html
920186,中科仪,中科仪:向不特定合格投资者公开发行股票并在北京证券交易所上市投资风险特别公告,首发投资风险特别公告,2026-04-16,https://data.eastmoney.com/notices/detail/920186/AN202604161821270649.html
920191,瑞尔竞达,瑞尔竞达:向不特定合格投资者公开发行股票并在北京证券交易所上市提示性公告,其他,2026-04-16,https://data.eastmoney.com/notices/detail/920191/AN202604161821268421.html
301513,尚水智能,尚水智能:首次公开发行股票并在创业板上市之上市公告书,首发上市公告书,2026-04-16,https://data.eastmoney.com/notices/detail/301513/AN202604151821246276.html
301513,尚水智能,尚水智能:北京市竞天公诚律师事务所关于公司首次公开发行股票并在创业板上市的法律意见书,法律意见书,2026-04-16,https://data.eastmoney.com/notices/detail/301513/AN202604151821246270.html
920242,建邦科技,建邦科技:第四届董事会第九次会议决议公告,分配预案,2026-04-16,https://data.eastmoney.com/notices/detail/920242/AN202604161821270608.html
920656,海昇药业,海昇药业:关于董事会审计委员会对会计师事务所履行监督职责情况报告,其他,2026-04-16,https://data.eastmoney.com/notices/detail/920656/AN202604161821273182.html
920656,海昇药业,海昇药业:证券事务代表、内部审计部负责人变动公告,高管人员任职变动,2026-04-16,https://data.eastmoney.com/notices/detail/920656/AN202604161821273187.html
300972,万辰集团,万辰集团:关于公司股东减持股份触及1%整数倍的公告,股东/实际控制人股份减持,2026-04-16,https://data.eastmoney.com/notices/detail/300972/AN202604161821267559.html
920992,中科美菱,中科美菱:2025年度环境、社会及公司治理(ESG)报告(英文版),ESG公告,2026-04-16,https://data.eastmoney.com/notices/detail/920992/AN202604161821270156.html
920819,颖泰生物,颖泰生物:关于2025年度计提资产减值准备的公告,其他,2026-04-16,https://data.eastmoney.com/notices/detail/920819/AN202604161821270078.html
300997,欢乐家,欢乐家:关于变更部分回购股份用途并注销及减少注册资本暨通知债权人的公告,公司注册资本变更,2026-04-16,https://data.eastmoney.com/notices/detail/300997/AN202604161821269623.html
301211,亨迪药业,亨迪药业:301211亨迪药业投资者关系管理信息,调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/301211/AN202604161821265259.html
300547,川环科技,川环科技:关于投资设立全资子公司取得营业执照的公告,投资设立公司,2026-04-16,https://data.eastmoney.com/notices/detail/300547/AN202604161821264727.html
301331,恩威医药,恩威医药:关于控股股东、持股5%以上股东部分股份质押的公告,股份质押、冻结,2026-04-16,https://data.eastmoney.com/notices/detail/301331/AN202604161821263423.html
600666,奥瑞德,奥瑞德:中审亚太会计师事务所关于公司2025年度营业收入扣除事项的专项审核报告,保荐/核查意见,2026-04-16,https://data.eastmoney.com/notices/detail/600666/AN202604151821245629.html
300732,设研院,设研院:非经营性资金占用及其他关联资金往来情况汇总表的专项审核报告,保荐/核查意见,2026-04-16,https://data.eastmoney.com/notices/detail/300732/AN202604151821246256.html
688772,珠海冠宇,珠海冠宇:2025年年度股东会会议资料,股东大会资料,2026-04-16,https://data.eastmoney.com/notices/detail/688772/AN202604151821239221.html
000533,顺钠股份,顺钠股份:2025年年度报告,年度报告全文,2026-04-16,https://data.eastmoney.com/notices/detail/000533/AN202605111822157552.html
300561,汇金科技,*ST汇科:更正公告,其他,2026-04-16,https://data.eastmoney.com/notices/detail/300561/AN202604171821294569.html
301366,一博科技,一博科技:第三届董事会第八次会议决议公告,分配预案,2026-04-16,https://data.eastmoney.com/notices/detail/301366/AN202604171821291452.html
000058,深赛格,深赛格:000058深赛格投资者关系管理信息20260416,调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/000058/AN202604161821268416.html
688268,华特气体,华特气体:2026-001广东华特气体股份有限公司投资者关系活动记录表(2026年4月13日),调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/688268/AN202604161821260888.html
003019,宸展光电,宸展光电:投资者关系活动记录表IR2026-002,调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/003019/AN202604161821259313.html
000055,方大集团,方大集团:000055方大集团投资者关系管理信息20260416,调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/000055/AN202604171821281225.html
300681,英搏尔,英搏尔:2026年4月16日投资者关系活动记录表,调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/300681/AN202604161821276633.html
002153,石基信息,石基信息:2026年4月16日投资者关系活动记录表,调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/002153/AN202604161821275079.html
000750,国海证券,国海证券:000750国海证券投资者关系管理信息20260416,调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/000750/AN202604161821274982.html
300568,星源材质,星源材质:300568星源材质2025年度业绩说明会20260416,调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/300568/AN202604161821274499.html
300119,瑞普生物,瑞普生物:300119瑞普生物投资者关系管理信息20260416,调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/300119/AN202604161821274544.html
601778,晶科科技,关于晶科电力科技股份有限公司签署投资协议相关事项的监管工作函,上交所股票监管工作函,2026-04-16,https://data.eastmoney.com/notices/detail/601778/AN202604161821274493.html
920305,云创退,*ST云创:关于收到中国证券监督管理委员会冻结决定书暨相关银行账户被冻结的公告,其他,2026-04-16,https://data.eastmoney.com/notices/detail/920305/AN202604161821274331.html
920305,云创退,*ST云创:高级管理人员离任公告,高管人员任职变动,2026-04-16,https://data.eastmoney.com/notices/detail/920305/AN202604161821274332.html
300871,回盛生物,回盛生物:2026年4月16日投资者关系活动记录表,调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/300871/AN202604161821274208.html
000776,广发证券,广发证券:广发证券股份有限公司2026年面向专业投资者公开发行公司债券(第二期)票面利率公告,其他,2026-04-16,https://data.eastmoney.com/notices/detail/000776/AN202604161821274227.html
920247,华密新材,华密新材:关于变更2026年第一季度报告预约披露时间的公告,延期披露定报公告,2026-04-16,https://data.eastmoney.com/notices/detail/920247/AN202604161821274181.html
920375,派诺科技,派诺科技:股东拟减持股份的预披露公告,股东/实际控制人股份减持,2026-04-16,https://data.eastmoney.com/notices/detail/920375/AN202604161821273965.html
300562,乐心医疗,乐心医疗:300562乐心医疗投资者关系管理信息20260416,调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/300562/AN202604161821273937.html
920566,梓橦宫,梓橦宫:关于2026年第二次临时股东会延期公告,变更股东大会时间,2026-04-16,https://data.eastmoney.com/notices/detail/920566/AN202604161821273852.html
920028,新恒泰,新恒泰:股东会网络投票实施细则,议事规则/实施细则,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273749.html
920028,新恒泰,新恒泰:会计师事务所选聘制度,管理办法/制度,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273752.html
920028,新恒泰,新恒泰:信息披露管理制度,管理办法/制度,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273736.html
920028,新恒泰,新恒泰:关联交易管理制度,管理办法/制度,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273738.html
920028,新恒泰,新恒泰:关于开展套期保值业务的可行性分析报告的公告,其他,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273748.html
920028,新恒泰,新恒泰:募集资金管理制度,管理办法/制度,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273735.html
920028,新恒泰,新恒泰:信息披露暂缓与豁免管理制度,管理办法/制度,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273743.html
920028,新恒泰,新恒泰:关于开展原材料期货套期保值业务的公告,其他,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273747.html
920028,新恒泰,新恒泰:拟续聘2026年度会计师事务所公告,审计机构变更,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273740.html
920028,新恒泰,新恒泰:董事会议事规则,议事规则/实施细则,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273741.html
920028,新恒泰,新恒泰:董事、高级管理人员离职管理制度,管理办法/制度,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273745.html
920028,新恒泰,新恒泰:董事、高级管理人员所持本公司股份及其变动管理办法,管理办法/制度,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273750.html
920028,新恒泰,新恒泰:关于变更注册资本、公司类型暨修订《公司章程》的公告,公司注册资本变更,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273742.html
920028,新恒泰,新恒泰:舆情管理制度,管理办法/制度,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273753.html
920028,新恒泰,新恒泰:浙商证券股份有限公司关于浙江新恒泰新材料股份有限公司开展原材料期货套期保值业务的核查意见,保荐/核查意见,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273744.html
920028,新恒泰,新恒泰:关于使用自有闲置资金进行现金管理的公告,投资理财,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273754.html
920028,新恒泰,新恒泰:期货及衍生品交易管理制度,管理办法/制度,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273737.html
920028,新恒泰,新恒泰:股东会议事规则,议事规则/实施细则,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273751.html
920028,新恒泰,新恒泰:第二届董事会第六次会议决议公告,董事会决议公告,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273746.html
920028,新恒泰,新恒泰:关于召开2026年第二次临时股东会的通知公告(提供网络投票),召开股东大会通知,2026-04-16,https://data.eastmoney.com/notices/detail/920028/AN202604161821273739.html
920026,卓兆点胶,卓兆点胶:投资者关系活动记录表,调研活动,2026-04-16,https://data.eastmoney.com/notices/detail/920026/AN202604161821273689.html
920188,悦龙科技,悦龙科技:关于使用闲置募集资金进行现金管理的公告,投资理财,2026-04-16,https://data.eastmoney.com/notices/detail/920188/AN202604161821273561.html
920188,悦龙科技,悦龙科技:中泰证券股份有限公司关于山东悦龙橡塑科技股份有限公司使用闲置募集资金进行现金管理的核查意见,保荐/核查意见,2026-04-16,https://data.eastmoney.com/notices/detail/920188/AN202604161821273560.html
920188,悦龙科技,悦龙科技:中泰证券股份有限公司关于山东悦龙橡塑科技股份有限公司调整募集资金投资项目拟投入募集资金金额的核查意见,保荐/核查意见,2026-04-16,https://data.eastmoney.com/notices/detail/920188/AN202604161821273554.html
