代码,名称,公告标题,公告类型,公告日期,网址
300716,*ST泉为,ST泉为:关于2025年第二次临时股东会增加临时提案暨召开2025年第二次临时股东会补充通知的公告,增加股东大会议案,2025-11-14,https://data.eastmoney.com/notices/detail/300716/AN202511141781342148.html
000875,电投绿能,吉电股份:第十届董事会第三次会议决议公告,董事会决议公告,2025-11-14,https://data.eastmoney.com/notices/detail/000875/AN202511131780652846.html
000875,电投绿能,吉电股份:关于增加2025年度日常关联交易预计额度的公告,关联交易,2025-11-14,https://data.eastmoney.com/notices/detail/000875/AN202511131780652845.html
300746,汉嘉数智,汉嘉设计:关于对外担保的进展公告,提供/对外担保公告,2025-11-14,https://data.eastmoney.com/notices/detail/300746/AN202511141781236065.html
300826,测绘股份,测绘股份:关于提前赎回“测绘转债”的公告,其他,2025-11-14,https://data.eastmoney.com/notices/detail/300826/AN202511131780688688.html
300365,恒华科技,恒华科技:2025年第一次临时股东大会决议公告,股东大会决议公告,2025-11-14,https://data.eastmoney.com/notices/detail/300365/AN202511141781280288.html
300554,三超新材,三超新材:2025年第二次临时股东会决议的公告,股东大会决议公告,2025-11-14,https://data.eastmoney.com/notices/detail/300554/AN202511141781280270.html
300964,本川智能,本川智能:2025年第三次临时股东大会决议公告,股东大会决议公告,2025-11-14,https://data.eastmoney.com/notices/detail/300964/AN202511141781277001.html
301225,恒勃股份,恒勃股份:2025年第二次临时股东大会决议公告,股东大会决议公告,2025-11-14,https://data.eastmoney.com/notices/detail/301225/AN202511141781273925.html
301136,招标股份,招标股份:2025年第四次临时股东会决议公告,股东大会决议公告,2025-11-14,https://data.eastmoney.com/notices/detail/301136/AN202511141781272212.html
300050,世纪鼎利,世纪鼎利:关于本次向特定对象发行股票不存在直接或通过利益相关方向参与认购的投资者提供财务资助或补偿的公告,获得补贴（资助）,2025-11-14,https://data.eastmoney.com/notices/detail/300050/AN202511141781372070.html
300865,大宏立,大宏立:股东询价转让结果报告书暨持股5%以上股东持有权益变动触及5%整数倍的提示性公告,权益变动报告书,2025-11-14,https://data.eastmoney.com/notices/detail/300865/AN202511141781278241.html
300131,英唐智控,英唐智控:2025年11月14日投资者关系活动记录表,调研活动,2025-11-14,https://data.eastmoney.com/notices/detail/300131/AN202511141781299399.html
300094,国联水产,国联水产:关于湛江国联水产开发股份有限公司2025年第三次临时股东会的法律意见书,法律意见书,2025-11-14,https://data.eastmoney.com/notices/detail/300094/AN202511141781260163.html
920699,海达尔,海达尔:子公司管理制度,管理办法/制度,2025-11-14,https://data.eastmoney.com/notices/detail/920699/AN202511141781245106.html
601199,江南水务,江南水务:投资者活动记录表(2025年第三季度业绩说明会),调研活动,2025-11-14,https://data.eastmoney.com/notices/detail/601199/AN202511141781242999.html
603666,亿嘉和,亿嘉和:2025年11月份投资者活动记录表-2025年第三季度业绩说明会,调研活动,2025-11-14,https://data.eastmoney.com/notices/detail/603666/AN202511141781234677.html
688146,中船特气,中船特气:中船(邯郸)派瑞特种气体股份有限公司投资者关系 活动记录表20251113,调研活动,2025-11-14,https://data.eastmoney.com/notices/detail/688146/AN202511141781203319.html
600061,国投资本,国投资本:投资者关系活动记录表(2025年11月13日),调研活动,2025-11-14,https://data.eastmoney.com/notices/detail/600061/AN202511141781203213.html
002911,佛燃能源,佛燃能源:2025年11月14日投资者关系活动记录表,调研活动,2025-11-14,https://data.eastmoney.com/notices/detail/002911/AN202511141781199828.html
601128,常熟银行,常熟银行:江苏常熟农村商业银行股份有限公司2025年第四次临时股东会会议资料,股东大会资料,2025-11-14,https://data.eastmoney.com/notices/detail/601128/AN202511131780622904.html
300530,领湃科技,领湃科技:关于召开2025年第四次临时股东大会的通知,召开股东大会通知,2025-11-14,https://data.eastmoney.com/notices/detail/300530/AN202511271789227929.html
A20209,新疆派特,关于新疆派特罗尔能源服务股份有限公司首次公开发行股票并上市辅导备案报告,辅导企业基本情况,2025-11-14,https://data.eastmoney.com/notices/detail/A20209/AN202511251788048567.html
688785,恒运昌,中信证券股份有限公司关于深圳市恒运昌真空技术股份有限公司首次公开发行股票并在科创板上市的发行保荐书(注册稿)(深圳市恒运昌真空技术股份有限公司),发行保荐书,2025-11-14,https://data.eastmoney.com/notices/detail/688785/AN202511151781630407.html
688785,恒运昌,中信证券股份有限公司关于深圳市恒运昌真空技术股份有限公司首次公开发行股票并在科创板上市的上市保荐书(注册稿)(深圳市恒运昌真空技术股份有限公司),上市保荐书,2025-11-14,https://data.eastmoney.com/notices/detail/688785/AN202511151781630406.html
688785,恒运昌,深圳市恒运昌真空技术股份有限公司科创板首次公开发行股票招股说明书(注册稿),科创板发行上市招股说明书注册稿,2025-11-14,https://data.eastmoney.com/notices/detail/688785/AN202511151781630394.html
688785,恒运昌,上海市锦天城律师事务所所关于深圳市恒运昌真空技术股份有限公司首次公开发行股票并在科创板上市的法律意见书(注册稿)(深圳市恒运昌真空技术股份有限公司),法律意见书,2025-11-14,https://data.eastmoney.com/notices/detail/688785/AN202511151781630402.html
300521,爱司凯,爱司凯:爱司凯科技股份有限公司关于与特定对象签署附条件生效的股份认购协议暨关联交易的公告,签订协议,2025-11-14,https://data.eastmoney.com/notices/detail/300521/AN202511141781372126.html
300521,爱司凯,爱司凯:关于向特定对象发行A股股票摊薄即期回报及填补回报措施和相关主体承诺的公告,其他,2025-11-14,https://data.eastmoney.com/notices/detail/300521/AN202511141781372122.html
300521,爱司凯,爱司凯:监事会关于公司2025年度向特定对象发行股票相关事项的书面审核意见,专项说明/独立意见,2025-11-14,https://data.eastmoney.com/notices/detail/300521/AN202511141781372127.html
300521,爱司凯,爱司凯:第五届董事会第七次会议决议公告,高管人员任职变动,2025-11-14,https://data.eastmoney.com/notices/detail/300521/AN202511141781372113.html
300521,爱司凯,爱司凯:关于向特定对象发行A股股票导致股东权益变动的提示性公告,权益变动报告书,2025-11-14,https://data.eastmoney.com/notices/detail/300521/AN202511141781372114.html
