序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
1,688835,高凯技术,,173211500.0,115093000.0,50.496989391188,-443.121740534067,53658200.0,26175200.0,104.996332406247,-433.1773910452,,,专用设备,2026-06-24
2,603448,天博智能,,406971600.0,434890000.0,-6.419646347352,-369.190397729879,70207600.0,71753800.0,-2.15486845296,-433.4129389309,,,汽车零部件,2026-06-18
3,603468,津富士达,,1360993900.0,1207179257.77,12.741657151577,,83084500.0,91786091.67,-9.480294357979,,,,摩托车及其他,2026-06-01
4,601123,马矿股份,,542733100.0,547934400.0,-0.949255969328,-394.432473436929,209376400.0,210656500.0,-0.607671730993,-458.2902805903,,,冶钢原料,2026-05-29
5,688825,长鑫科技,,50800145500.0,6201690535.94,719.133834647235,-137.014754080701,24762031500.0,-1559027880.1,1688.29946635795,219.8840284552,,,半导体,2026-05-27
6,688836,宇树科技,,422840500.0,250958706.94,68.490069603799,-340.029837880342,50013800.0,95602511.45,-47.685683941308,-231.9978757242,,,自动化设备,2026-05-25
7,688826,频准激光,,101133600.0,65161253.92,55.205116408846,,27941000.0,20930118.56,33.496615988591,,,,光学光电子,2026-05-22
8,688806,泰诺麦博,,24928900.0,169315.48,14623.3436659188,,-96385000.0,-176719526.52,45.458771931979,,,,生物制品,2026-05-22
9,603435,嘉德利,0.15,209388700.0,181456600.0,15.393267591259,,63418600.0,61404300.0,3.280389158414,,3.59,4.37,电子化学品Ⅱ,2026-05-21
10,301688,格林生物,,318053000.0,274294200.0,15.95323561344,-397.852506001392,50086900.0,50661200.0,-1.133609152566,-462.3988024896,,,化学制品,2026-05-21
11,301699,洛轴股份,,1324935600.0,1248308900.0,6.138440573483,-407.297284272914,112478200.0,104040000.0,8.110534409842,-477.0602735792,,,通用设备,2026-05-20
12,301655,绿控传动,,1013907300.0,506337389.32,100.243418990183,,58664000.0,31266907.47,87.623288476121,,,,汽车零部件,2026-05-20
13,301707,展芯股份,,130304600.0,115338628.57,12.97568006101,,49646700.0,28845520.88,72.11233663117,,,,半导体,2026-05-15
14,301697,贝特利,,1551438000.0,565634900.0,174.282580512624,-275.203450875669,62371000.0,17079900.0,265.171927236108,-248.1276363458,,,光伏设备,2026-05-13
15,688828,国仪公司,,52672000.0,54294891.04,-2.989030844181,,-71412300.0,-43294415.27,-64.945754676779,,,,通用设备,2026-05-12
16,001232,嘉立创,,3028998800.0,2084827196.31,45.287763195008,,376491000.0,248157714.78,51.714404822664,,,,元件,2026-05-12
17,688235,百济神州,1.11,10544044000.0,8047870000.0,31.016579542165,-360.40982463772,1607782000.0,-94503000.0,1801.30260415013,-54.3416306028,22.87,5.05,化学制药,2026-05-07
18,301717,超纯应材,,146997700.0,90520595.67,62.391441320041,,62411900.0,39289507.51,58.851316688342,,,,半导体,2026-05-06
19,001248,华润新能源,,6210765700.0,6390323481.1,-2.809838682362,,1616795100.0,2345582498.69,-31.070635933591,,,,电力,2026-05-05
20,603815,交建股份,0.09,634407822.87,788932079.51,-19.58650949217,-488.4185754126,57214071.74,33030641.7,73.215138414946,191.3259775994,2.68,3.7,基础建设,2026-04-28
21,301583,托伦斯,,178753600.0,154933947.92,15.374069014429,,,17139711.91,,,,,半导体,2026-04-25
22,603092,德力佳,0.5313,1119062537.47,849473728.34,31.735979599607,-416.09503604552,212505443.62,142703243.75,48.914234908553,-411.293228013,14.34,3.77,风电设备,2026-04-23
23,300748,金力永磁,0.14,2035819300.0,1754254500.0,16.05039633645,-342.334174185621,192773900.0,160525300.0,20.089418926487,-369.702404579,5.67,2.51,金属新材料,2026-04-22
24,000028,国药一致,0.52,17823409800.0,18293519400.0,-2.569814969557,-403.927237346348,287462500.0,327998500.0,-12.358593103322,-574.5104253758,33.95,1.53,医药商业,2026-04-22
25,002670,国盛证券,0.0008,295598900.0,415309100.0,-28.824362384547,-2076.52550579473,1468700.0,70390900.0,-97.913508706381,-978.4010960591,5.86,0.01,证券Ⅱ,2026-04-21
26,600917,重庆燃气,-0.0252,2626699670.42,2751178910.99,-4.524578175296,-362.839331685544,-39360850.62,-54087531.85,27.227497218474,-453.3720041983,3.69,-0.68,燃气Ⅱ,2026-04-20
27,603766,隆鑫通用,0.2295,4522343500.0,4646315800.0,-2.668184973566,-419.18196297696,471335000.0,506881100.0,-7.012709686749,-1758.3155143488,4.7,4.87,摩托车及其他,2026-04-18
28,600995,南网储能,0.14,1849441800.0,1556753200.0,18.801220386122,-368.673782547856,453818300.0,373992100.0,21.344354600004,-583.7565809008,7.23,1.98,电力,2026-04-16
