代码,名称,公告标题,公告类型,公告日期,网址
300290,ST荣科,荣科科技:北京金诚同达律师事务所关于荣科科技股份有限公司2025年第三次临时股东会律师见证之法律意见书,法律意见书,2025-12-19,https://data.eastmoney.com/notices/detail/300290/AN202512191803851356.html
300225,金力泰,*ST金泰:关于转让参股公司深圳怡钛积科技股份有限公司全部股权暨签署股权转让协议的公告,签订协议,2025-12-19,https://data.eastmoney.com/notices/detail/300225/AN202512191803903737.html
603378,*ST亚士,亚士创能:亚士创能关于公司及控股子公司重大诉讼的公告,诉讼仲裁,2025-12-19,https://data.eastmoney.com/notices/detail/603378/AN202512181803110894.html
600165,ST宁科,*ST宁科:关于《宁夏中科生物科技股份有限公司股票交易异常波动询证函》的回函,股票交易异常波动,2025-12-19,https://data.eastmoney.com/notices/detail/600165/AN202512181803264788.html
920701,豪声电子,豪声电子:投资者关系活动记录表,调研活动,2025-12-19,https://data.eastmoney.com/notices/detail/920701/AN202512191803785341.html
300411,金盾股份,金盾股份:关于五届十次董事会决议的公告,高管人员任职变动,2025-12-19,https://data.eastmoney.com/notices/detail/300411/AN202512191803779015.html
301303,真兰仪表,真兰仪表:真兰仪表2025年第三次临时股东会法律意见书,法律意见书,2025-12-19,https://data.eastmoney.com/notices/detail/301303/AN202512191803913140.html
300066,三川智慧,三川智慧:关于控股股东减持公司股份触及5%整倍数暨披露简式权益变动报告书的提示性公告,权益变动报告书,2025-12-19,https://data.eastmoney.com/notices/detail/300066/AN202512191803892373.html
300998,宁波方正,宁波方正:300998宁波方正投资者关系管理信息20251219,调研活动,2025-12-19,https://data.eastmoney.com/notices/detail/300998/AN202512191803840467.html
300440,运达科技,深交所:运达科技_监管函,深交所股票监管函,2025-12-19,https://data.eastmoney.com/notices/detail/300440/AN202512191803838298.html
