序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
1,301599,理奇智能,,1258786500.0,,,,120019100.0,,,,,,自动化设备,2026-01-23
2,001365,天海电子,,8694087000.0,,,,495117500.0,,,,,,汽车零部件,2026-01-23
3,001399,惠科股份,,29342305800.0,,,,2502687300.0,,,,,,光学光电子,2026-01-22
4,301669,高特电子,,600639300.0,,,,55428700.0,,,,,,其他电源设备Ⅱ,2026-01-15
5,001237,惠康科技,,2733666200.0,,,,362064000.0,,,,,,通用设备,2026-01-15
6,603293,埃泰克,,2356487600.0,,,,148863300.0,,,,,,汽车零部件,2026-01-13
7,688785,恒运昌,,425969400.0,,,,120076200.0,,,,,,其他电源设备Ⅱ,2026-01-08
8,301696,三瑞智能,,636234900.0,,,,256081200.0,,,,,,航空装备Ⅱ,2026-01-05
9,001393,维通利,,1666472200.0,,,,196665300.0,,,,,,电网设备,2026-01-05
10,688825,长鑫科技,,16221384500.0,,,,-5376227500.0,,,,,,半导体,2025-12-30
11,301666,大普微,,699320600.0,,,,-74160100.0,,,,,,计算机设备,2025-12-29
12,001312,福恩股份,,1444503500.0,,,,216596800.0,,,,,,纺织制造,2025-12-29
13,688781,视涯科技,,189271600.0,,,,-185554500.0,,,,,,光学光电子,2025-12-26
14,001257,盛龙股份,,2501105300.0,,,,657575700.0,,,,,,小金属,2025-12-26
15,603407,长裕集团,,1218076000.0,,,,153930100.0,,,,,,化学原料,2025-12-22
16,301680,固德电材,,631355300.0,,,,114998500.0,,,,,,汽车零部件,2025-12-22
17,301513,尚水智能,,446333900.0,,,,109892500.0,,,,,,电池,2025-12-18
18,688818,电科蓝天,,1611259000.0,,,,105124500.0,,,,,,航天装备Ⅱ,2025-12-17
19,301682,宏明电子,,2083148700.0,,,,323166900.0,,,,,,军工电子Ⅱ,2025-12-15
20,688811,有研复材,,348534300.0,,,,27366900.0,,,,,,金属新材料,2025-12-13
21,603284,林平发展,,1876004300.0,,,,124583800.0,,,,,,造纸,2025-12-13
22,301683,慧谷新材,,595812200.0,,,,106417300.0,,,,,,化学制品,2025-12-11
23,688816,易思维,,181157100.0,,,,-2246700.0,,,,,,自动化设备,2025-11-21
24,001220,世盟股份,,745592400.0,,,,120209100.0,,,,,,物流,2025-11-21
25,688796,百奥赛图,,589882300.0,,,,-102270600.0,,,,,,医疗服务,2025-11-20
26,688809,强一股份,,390096100.0,,,,131083600.0,,,,,,半导体,2025-11-14
27,603352,至信股份,,2098269800.0,,,,135889500.0,,,,,,汽车零部件,2025-11-14
28,601112,振石股份,,3048377000.0,,,,429878800.0,,,,,,玻璃玻纤,2025-11-11
29,688813,泰金新能,,1444437200.0,1141674200.0,26.51921187323,-14.30016759966,135128800.0,116345900.0,16.144015388596,-45.6090280285,,,专用设备,2025-10-31
