序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
1,688712,北芯生命,,62229100.0,,,,-19105500.0,,,,,,医疗器械,2025-07-25
2,601026,道生天合,,501025100.0,,,-457.191194851735,15129400.0,,,-379.5744391045,,,风电设备,2025-07-25
3,603376,大明电子,,537433000.0,,,-334.976681619887,64707300.0,,,-293.9323880657,,,汽车零部件,2025-07-18
4,688765,禾元生物,,6670000.0,,,,-29319100.0,,,,,,生物制品,2025-07-04
5,301668,昊创瑞通,,211037600.0,,,,31789900.0,,,,,,电网设备,2025-07-04
6,603175,超颖电子,,981181500.0,,,,77825200.0,,,,,,元件,2025-07-03
7,688813,泰金新能,,469621900.0,,,-327.342862713369,24394500.0,,,-435.7708361687,,,专用设备,2025-06-30
8,603418,友升股份,,710238300.0,,,,59774600.0,,,,,,汽车零部件,2025-06-27
9,301680,固德电材,,177494500.0,,,,30645200.0,,,,,,汽车零部件,2025-06-27
10,301656,联合动力,,2568200000.0,,,,171650800.0,,,,,,汽车零部件,2025-06-23
11,603370,华新精科,,301314800.0,,,,48070500.0,,,,,,电机Ⅱ,2025-06-20
12,301584,建发致新,,3987999400.0,3122893600.0,27.70205811687,,31777100.0,33251200.0,-4.433223462612,,,,医药商业,2025-06-13
13,301632,广东建科,,198918600.0,,,,-10475100.0,,,,,,专业服务,2025-06-03
14,301575,艾芬达,,210096000.0,,,,20868000.0,,,,,,家居用品,2025-05-26
15,001233,海安集团,,517945900.0,456481900.0,13.46471787819,-390.040320274304,126472000.0,109337700.0,15.670989969608,-386.6405509248,,,汽车零部件,2025-05-23
16,001285,瑞立科密,,356282200.0,,,-391.233019509589,52371100.0,,,-377.8114014758,,,汽车零部件,2025-05-06
17,603322,超讯科技,0.14,813602191.78,258075463.19,215.257476136354,-251.067466356068,22202184.93,-19947133.71,211.305139138209,-93.0321881553,,7.24,通信服务,2025-04-26
18,603014,威高血净,,841780000.0,,,,104120000.0,,,,,,医疗器械,2025-04-25
19,301595,太力科技,,250650800.0,,,,20100700.0,,,,,,家居用品,2025-04-24
20,600496,精工钢构,0.05,3414176000.0,3721078869.51,-8.247685154559,-364.3474059276,97487700.0,180291003.39,-45.927584756341,-3655.4843592878,,1.14,专业工程,2025-04-22
21,001388,信通电子,,146390100.0,,,-384.089351009905,6305800.0,,,-365.1516113113,,,电网设备,2025-04-22
22,301560,众捷汽车,,212837100.0,178696100.0,19.105621219489,,13644300.0,18588100.0,-26.596585987809,,,,汽车零部件,2025-04-21
23,600161,天坛生物,0.16,1221955200.0,1291975900.0,-5.419659917805,-441.708590529348,316674000.0,261909000.0,20.909934366517,-456.5198662287,,3.17,生物制品,2025-04-16
24,601128,常熟银行,0.32,2700000000.0,2410203000.0,12.023758994574,-405.133698032031,952000000.0,794880000.0,19.766505636071,-405.1998569315,,3.685,银行Ⅱ,2025-04-15
25,600958,东方证券,0.1,3611000000.0,4436963376.43,-18.615510346957,-497.022242669648,886000000.0,1428089623.65,-37.959075864195,-1705.9537585495,,1.11,证券Ⅱ,2025-04-14
26,301662,宏工科技,,467186500.0,,,,46708700.0,,,,,,电池,2025-04-14
27,301630,同宇新材,,220075400.0,,,,34686800.0,,,,,,电子化学品Ⅱ,2025-04-14
28,001335,信凯科技,,317938100.0,275831500.0,15.265334089834,-372.461741121564,18099300.0,15081200.0,20.012333236082,-424.3318725276,,,化学制品,2025-04-14
29,603101,汇嘉时代,0.0803,704956270.94,739470111.04,-4.66737459496,-397.682878283701,37781188.17,90109411.05,-58.071873148704,-18949.5382472202,,2.56,一般零售,2025-04-11
30,601139,深圳燃气,0.1,6862510000.0,7577670000.0,-9.437729539555,-411.122799116664,275680000.0,258300000.0,6.728610143244,-448.0425986812,,1.88,燃气Ⅱ,2025-04-11
31,000728,国元证券,0.11,1097555000.0,1549959423.68,-29.188146268105,-469.898908226126,462800700.0,519894650.43,-10.981830719508,-418.2473752186,,1.33,证券Ⅱ,2025-04-11
32,600995,南网储能,0.09,1324702900.0,1408689771.71,-5.962055904477,-375.458463351063,285270200.0,380115483.12,-24.951702135758,-474.2834344973,,1.36,电力,2025-04-09
33,603019,中科曙光,0.098,2478641535.71,2297997842.11,7.86091658964,-280.059003449801,142577605.46,130967541.52,8.86484071187,-255.9767465374,,0.76,计算机设备,2025-04-08
