序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
34,002101,广东鸿图,0.63,8053221800.0,7614501985.57,5.761635038791,24.87980257661,415190500.0,422774583.71,-1.793883549821,57.7119054765,11.73,5.32,汽车零部件,2026-04-15
35,000061,农产品,0.2273,5756144500.0,5490136004.9,4.84520774827,37.284170791876,385673800.0,448938961.24,-14.092152096859,-30.3330913437,3.73,6.19,一般零售,2026-04-15
36,605166,聚合顺,0.95,7168215581.8,6018365269.53,19.105691674972,1.098951712707,300304358.6,196716755.34,52.658251240959,-17.5089577635,6.1,16.53,化学纤维,2026-04-14
37,600596,新安股份,0.0381,14665388700.0,14630196708.04,0.24054353241,-15.146642692866,51406900.0,134134140.13,-61.675006862401,-13397.1223066652,9.22,0.41,农化制品,2026-04-14
38,600111,北方稀土,0.2778,32966314900.0,33496993100.0,-1.584256229852,33.1014666449,1004276900.0,2370740200.0,-57.638677574202,66.4086924776,6.2051,4.57,小金属,2026-04-14
39,301179,泽宇智能,0.55,1348092300.0,1061674405.26,26.977941007239,260.136513337727,218433600.0,256328479.3,-14.783717908945,215.4247370827,7.19,7.69,电网设备,2026-04-14
40,001217,华尔泰,0.26,1641061300.0,1791934857.07,-8.419589388238,13.56474299964,87742700.0,158276025.09,-44.563492828363,-18.6311409716,6.81,3.95,化学原料,2026-04-14
41,000682,东方电子,0.5101,7544804500.0,6478071293.63,16.466833383247,60.810659892198,683908700.0,541303704.72,26.344729222529,55.9571691626,3.81,14.05,电网设备,2026-04-14
42,688709,成都华微,0.2,603889900.0,926053700.0,-34.788889672381,26.550376315769,122169900.0,311065300.0,-60.725320374854,133.1428677143,4.41,4.83,半导体,2026-04-13
43,301449,天溯计量,2.27,800116900.0,725710430.7,10.252914406677,4.587643953136,111056800.0,101252029.87,9.68352944883,-15.1506724089,9.5,23.91,专业服务,2026-04-13
44,301219,腾远钴业,2.33,6542489400.0,5543417839.54,18.022663803797,-1.966586592982,685229300.0,378075083.21,81.241592062123,-64.4770834302,29.86,7.96,能源金属,2026-04-13
45,002558,巨人网络,0.78,2922846400.0,2924173672.43,-0.045389658026,-10.974626086903,1424901700.0,1086440305.95,31.153243505086,0.2842079076,8.61,11.56,游戏Ⅱ,2026-04-11
46,000626,远大控股,-1.09,73160591100.0,86295012250.54,-15.220371152399,-69.945520367035,-301758900.0,-377311326.23,20.023895647369,-531.9060993396,4.62,-22.24,物流,2026-04-11
47,000557,西部创业,0.1803,1345322700.0,1665275473.36,-19.213203970058,1.374584207143,263007700.0,242400833.26,8.501153425449,-42.8938081617,4.19,4.4,铁路公路,2026-04-11
48,603893,瑞芯微,1.42,3136370678.42,2134522147.19,46.935494792073,7.218376449362,594862210.27,134885044.41,341.014207966483,43.9313281561,8.46,17.81,半导体,2026-04-10
49,300407,凯发电气,0.3,2212161100.0,2000736647.26,10.567330439493,43.081131858585,93892400.0,96307273.67,-2.507467585755,21.4581462174,5.64,5.25,电网设备,2026-04-10
