代码,名称,公告标题,公告类型,公告日期,网址
603398,*ST沐邦,*ST沐邦:江西沐邦高科股份有限公司关于股票交易的风险提示公告,风险提示性公告,2025-11-20,https://data.eastmoney.com/notices/detail/603398/AN202511191784366221.html
301607,富特科技,富特科技:2025年11月20日投资者关系活动记录表,调研活动,2025-11-20,https://data.eastmoney.com/notices/detail/301607/AN202511201785055368.html
002917,金奥博,金奥博:002917金奥博投资者关系管理信息20251120,调研活动,2025-11-20,https://data.eastmoney.com/notices/detail/002917/AN202511201785038890.html
300979,华利集团,华利集团:300979华利集团投资者关系管理信息20251120,调研活动,2025-11-20,https://data.eastmoney.com/notices/detail/300979/AN202511201785007445.html
920003,中诚咨询,中诚咨询:关于召开2025年第五次临时股东会通知公告(提供网络投票),召开股东大会通知,2025-11-20,https://data.eastmoney.com/notices/detail/920003/AN202511201785000116.html
920685,新芝生物,新芝生物:独立董事候选人声明与承诺(梅乐和),独立董事候选人声明,2025-11-20,https://data.eastmoney.com/notices/detail/920685/AN202511201784995186.html
000027,深圳能源,深圳能源:000027深圳能源投资者关系管理信息20251120,调研活动,2025-11-20,https://data.eastmoney.com/notices/detail/000027/AN202511201784992551.html
300756,金马游乐,金马游乐:关于使用部分闲置募集资金进行现金管理的进展公告,募集资金使用进展情况,2025-11-20,https://data.eastmoney.com/notices/detail/300756/AN202511201784933925.html
A25226,天元重工,关于德阳天元重工股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作进展报告,2025-11-20,https://data.eastmoney.com/notices/detail/A25226/AN202511291790573141.html
A23102,中圣科技,关于中圣科技(江苏)集团股份有限公司首次公开发行股票并上市辅导备案报告,辅导企业基本情况,2025-11-20,https://data.eastmoney.com/notices/detail/A23102/AN202511261788680249.html
A25246,邦特科技,关于江阴邦特新材料科技股份有限公司首次公开发行股票并上市辅导工作完成报告,辅导工作进展报告,2025-11-20,https://data.eastmoney.com/notices/detail/A25246/AN202511251788048569.html
600733,北汽蓝谷,关于同意北汽蓝谷新能源科技股份有限公司向特定对象发行股票注册的批复,沪主板再融资审核注册结果通知,2025-11-20,https://data.eastmoney.com/notices/detail/600733/AN202511241787481629.html
688300,联瑞新材,关于同意江苏联瑞新材料股份有限公司向不特定对象发行可转换公司债券注册的批复,科创板再融资审核注册结果通知,2025-11-20,https://data.eastmoney.com/notices/detail/688300/AN202511241787481628.html
603459,红板科技,关于同意江西红板科技股份有限公司首次公开发行股票注册的批复,沪主板发行上市审核注册结果通知,2025-11-20,https://data.eastmoney.com/notices/detail/603459/AN202511211785649470.html
600575,淮河能源,关于同意淮河能源(集团)股份有限公司发行股份购买资产注册的批复,沪主板并购重组审核注册结果通知,2025-11-20,https://data.eastmoney.com/notices/detail/600575/AN202511211785649469.html
920038,森合高科,森合高科及国投证券关于第一轮问询的回复(2025年半年报财务数据更新版),北交所发行上市问询与回复,2025-11-20,https://data.eastmoney.com/notices/detail/920038/AN202511211785606063.html
920038,森合高科,北京市中伦律师事务所关于森合高科的补充法律意见书(二),北交所发行上市法律意见书,2025-11-20,https://data.eastmoney.com/notices/detail/920038/AN202511211785603742.html
920038,森合高科,中汇会计师事务所(特殊普通合伙)关于森合高科第一轮问询的回复(2025年半年报财务数据更新版),北交所发行上市问询与回复,2025-11-20,https://data.eastmoney.com/notices/detail/920038/AN202511211785603719.html
000050,深天马A,深天马Ａ:2025年11月20日投资者关系活动记录表,调研活动,2025-11-20,https://data.eastmoney.com/notices/detail/000050/AN202511211785433557.html
