序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
1,688835,高凯技术,,115093000.0,,,,26175200.0,,,,,,专用设备,2026-06-24
2,603448,天博智能,,434890000.0,,,,71753800.0,,,,,,汽车零部件,2026-06-18
3,603468,津富士达,,1207179300.0,,,,91786100.0,,,,,,摩托车及其他,2026-06-01
4,601123,马矿股份,,547934400.0,,,,210656500.0,,,,,,冶钢原料,2026-05-29
5,688825,长鑫科技,,6201690500.0,,,-325.925160727297,-1559027900.0,,,415.8244174674,,,半导体,2026-05-27
6,688836,宇树科技,,250958700.0,,,,95602500.0,,,,,,自动化设备,2026-05-25
7,688826,频准激光,,65161300.0,,,,20930100.0,,,,,,光学光电子,2026-05-22
8,603435,嘉德利,0.15,181456600.0,,,,61404300.0,,,,,5.8,电子化学品Ⅱ,2026-05-21
9,301688,格林生物,,274294200.0,238088200.0,15.206969518019,,50661200.0,40476600.0,25.161698363993,,,,化学制品,2026-05-21
10,301699,洛轴股份,,1248308900.0,,,,104040000.0,,,,,,通用设备,2026-05-20
11,301655,绿控传动,,506337400.0,,,,31266900.0,,,,,,汽车零部件,2026-05-20
12,301707,展芯股份,,115338600.0,,,,28845500.0,,,,,,半导体,2026-05-15
13,301697,贝特利,,565634900.0,,,,17079900.0,,,,,,光伏设备,2026-05-13
14,688828,国仪公司,,54294900.0,,,,-43294400.0,,,,,,通用设备,2026-05-12
15,001232,嘉立创,,2084827200.0,,,,248157700.0,,,,,,元件,2026-05-12
16,301717,超纯应材,,90520600.0,,,,39289500.0,,,,,,半导体,2026-05-06
17,001248,华润新能源,,6390323500.0,,,-388.003596259054,2345582500.0,,,-422.1466704698,,,电力,2026-05-05
18,001237,惠康科技,,532033400.0,,,-668.322019723114,80052800.0,,,-516.6114585761,,,通用设备,2026-04-30
